,Provider Name,Procedures,Provider State,Region,Count Of Services,Charges,Payment,Cluster_22
710,EASTERN NIAGARA HOSPITAL,54,1,1,3102,503910.3700000001,303596.9000000002,0
711,EASTERN OKLAHOMA MEDICAL CENTER,35,1,1,1050,366816.87999999995,149736.86999999997,7
712,EASTERN STATE HOSPITAL,1,1,1,57,13952.84,4946.42,20
713,EASTLAND MEMORIAL HOSPITAL,20,1,1,851,133861.04,76574.27000000002,20
714,EASTON HOSPITAL,103,1,1,7204,5933270.449999996,814639.0400000002,16
715,EDEN MEDICAL CENTER,93,1,1,5261,4790556.7,1010252.5199999998,16
716,EDGEWOOD SURGICAL HOSPITAL,5,1,1,1119,39780.61,11885.619999999999,20
717,EDWARD HOSPITAL,122,1,1,20161,4075579.5700000003,976785.8799999999,16
718,EDWARD JOHN  NOBLE HOSPITAL OF GOUVERNEUR,14,1,1,360,95254.70999999999,68129.85,20
719,EDWARD MCCREADY MEMORIAL HOSPITAL,4,1,1,63,51630.509999999995,48532.64,20
720,EDWARD W SPARROW HOSPITAL,121,1,1,31125,3672820.97,1137809.7000000002,4
721,EDWARD WHITE HOSPITAL,45,1,1,1683,1770473.1800000002,249142.31000000003,0
722,EISENHOWER MEDICAL CENTER,122,1,1,87498,8468119.69,982280.0900000001,3
723,EL CAMINO HOSPITAL,91,1,1,5453,7029260.350000001,1079198.05,10
724,EL CAMPO MEMORIAL HOSPITAL,16,1,1,546,101377.22999999998,51183.729999999996,20
725,EL CENTRO REGIONAL MEDICAL CENTER,69,1,1,6818,2254713.700000001,520103.73,14
726,EL PASO SPECIALTY HOSPITAL,12,1,1,1464,156826.80999999997,37977.909999999996,20
727,ELBA GENERAL HOSPITAL,13,1,1,909,44625.59,35476.270000000004,20
728,ELBERT MEMORIAL HOSPITAL,16,1,1,547,120413.67999999998,61636.99,20
729,ELIZA COFFEE MEMORIAL HOSPITAL,103,1,1,8892,3195520.4100000006,708734.6500000005,18
730,ELK REGIONAL HEALTH CENTER,54,1,1,18081,444472.58,187886.07000000007,0
731,ELKHART GENERAL HOSPITAL,93,1,1,8615,1896602.9000000008,601079.6,1
732,ELKVIEW GENERAL HOSPITAL,17,1,1,982,124060.48999999999,78704.02999999998,20
733,ELLIOT HOSPITAL,104,1,1,72086,1694839.199999999,736135.5499999997,12
734,ELLIS HOSPITAL,112,1,1,21845,2669476.4900000007,759018.9799999994,4
735,ELLWOOD CITY HOSPITAL,24,1,1,1358,138073.1,83533.81000000001,20
736,ELMHURST HOSPITAL CENTER,59,1,1,1945,1213833.7100000007,931154.36,14
737,ELMHURST MEMORIAL HOSPITAL,115,1,1,65380,4351080.269999999,846772.7899999998,15
738,ELMORE COMMUNITY HOSPITAL,13,1,1,663,52420.38,44379.509999999995,20
739,EMANUEL MEDICAL CENTER,28,1,1,954,269349.76999999996,115260.03,7
740,EMANUEL MEDICAL CENTER INC,86,1,1,8347,5648388.610000005,738099.8099999999,16
741,EMERSON HOSPITAL,71,1,1,11746,1026446.97,415081.16,14
742,EMH REGIONAL MEDICAL CENTER,113,1,1,24504,1881981.3099999994,736886.06,4
743,EMMA L BIXBY MEDICAL CENTER,57,1,1,3880,902866.74,263401.5999999999,0
744,EMORY EASTSIDE MEDICAL CENTER,92,1,1,8034,3175527.6699999985,621012.6,1
745,EMORY JOHNS CREEK HOSPITAL,46,1,1,2245,828007.3000000003,257461.43999999994,0
746,EMORY UNIVERSITY HOSPITAL,100,1,1,15523,2532532.900000001,1003233.1400000002,18
747,EMORY UNIVERSITY HOSPITAL MIDTOWN,104,1,1,13627,2601022.1700000004,992504.2199999999,18
748,EMORY-ADVENTIST HOSPITAL,25,1,1,698,368575.2899999999,104154.82999999997,7
749,ENCINO HOSPITAL MEDICAL CENTER,22,1,1,561,922575.15,167835.27000000002,7
750,ENGLEWOOD COMMUNITY HOSPITAL,58,1,1,3035,1956838.61,276391.0500000002,14
751,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,117,1,1,12283,6667283.209999999,1137630.1399999992,10
752,ENLOE MEDICAL CENTER,110,1,1,30726,5457156.390000001,956437.0300000001,4
753,ENNIS REGIONAL MEDICAL CENTER,31,1,1,929,656084.1199999999,177249.50999999998,7
754,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,95,1,1,6960,1689516.59,699582.88,1
755,EPHRATA COMMUNITY HOSPITAL,66,1,1,10228,1274120.4600000002,343253.02,14
756,ERIE COUNTY MEDICAL CENTER,71,1,1,19693,1232041.88,715091.99,1
757,ERLANGER MEDICAL CENTER,107,1,1,9990,2846646.310000002,944315.64,18
758,ESPANOLA HOSPITAL,25,1,1,3494,346680.61999999994,135171.87000000002,7
759,ESSENTIA HEALTH DULUTH,29,1,1,32382,169119.69,96124.37,7
760,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,72,1,1,8173,844404.6,374329.5599999999,14
761,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,105,1,1,8797,2657910.9199999995,984956.1600000001,18
762,ESSENTIA HEALTH ST MARYS,31,1,1,2376,293871.07999999996,147807.12999999995,7
763,ESSENTIA HEALTH-FARGO,85,1,1,20804,1389336.5799999994,570591.91,1
764,ETMC CARTHAGE,22,1,1,833,330839.2799999999,75573.04,7
765,ETMC CLARKSVILLE,25,1,1,941,568384.0499999999,100209.49,7
766,ETMC HENDERSON,22,1,1,766,451479.30000000005,105467.47000000003,7
767,EUCLID HOSPITAL,63,1,1,7313,1195907.5999999999,345164.90999999986,14
768,EVANGELICAL COMMUNITY HOSPITAL,60,1,1,9722,572329.2800000003,294457.33,0
769,EVANS MEMORIAL HOSPITAL,22,1,1,762,268215.85000000003,102197.66999999998,7
770,EVANSTON HOSPITAL,126,1,1,230040,3830089.8300000005,1074327.0000000002,21
771,EVANSTON REGIONAL HOSPITAL,10,1,1,375,105910.15999999999,36909.64,20
772,EVERGREEN HOSPITAL MEDICAL CENTER,102,1,1,40355,2797612.5999999996,860873.2500000002,4
773,EVERGREEN MEDICAL CENTER,26,1,1,966,185488.80000000002,115574.93999999999,7
774,EXCELA HEALTH FRICK HOSPITAL,36,1,1,1573,385641.8599999999,145411.68999999997,7
775,EXCELA HEALTH LATROBE HOSPITAL,53,1,1,3079,728540.6900000002,327121.57,0
776,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,98,1,1,9345,1686940.7300000002,600018.9299999997,1
777,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC,28,1,1,921,979614.2399999999,170034.99999999997,7
778,EXEMPLA LUTHERAN MEDICAL CENTER,97,1,1,5667,3376823.23,696542.29,18
779,EXEMPLA SAINT JOSEPH HOSPITAL,31,1,1,2435,1031899.28,217259.09000000003,7
780,EXETER HOSPITAL INC,82,1,1,13123,1655933.2500000005,563087.68,1
781,F F THOMPSON HOSPITAL,45,1,1,6205,379199.01000000007,186410.40999999992,7
782,FAIRBANKS MEMORIAL HOSPITAL,48,1,1,6996,1028745.5000000001,583814.9000000001,14
783,FAIRFIELD MEDICAL CENTER,99,1,1,7450,1537521.0099999995,628587.4999999997,1
784,FAIRMONT GENERAL HOSPITAL,60,1,1,5020,709878.99,298408.92000000004,0
785,FAIRVIEW DEVELOPMENTAL CENTER,5,1,1,714,61357.88,14590.43,20
786,FAIRVIEW HOSPITAL,110,1,1,16357,3393425.0399999986,841112.9399999996,18
787,FAIRVIEW LAKES  HEALTH SERVICES,45,1,1,9026,574412.3300000002,197096.35,0
788,FAIRVIEW NORTHLAND REGIONAL HOSPITAL,21,1,1,5411,171283.71999999994,72623.23999999999,20
789,FAIRVIEW PARK HOSPITAL,69,1,1,3264,1911527.84,481604.65,14
790,FAIRVIEW RED WING HOSPITAL,32,1,1,17912,183655.77999999997,88678.13999999998,7
791,FAIRVIEW RIDGES HOSPITAL,76,1,1,4667,1492892.9400000002,495797.98,14
792,FAIRVIEW SOUTHDALE HOSPITAL,111,1,1,13417,2856878.7000000016,866206.2199999994,18
793,FAIRWAY MEDICAL CENTER,3,1,1,197,67224.98000000001,12046.43,20
794,FAITH COMMUNITY HOSPITAL,4,1,1,66,17206.440000000002,20252.07,20
795,FAITH REGIONAL HEALTH SERVICES,61,1,1,6030,1156139.8599999996,415079.54,14
796,FALLBROOK HOSPITAL,22,1,1,863,593592.7099999997,114397.67,7
797,FALLS COMMUNITY HOSPITAL AND CLINIC,18,1,1,1519,149164.18999999997,79412.64,20
798,FALMOUTH HOSPITAL,86,1,1,8083,1208059.9400000002,718426.1100000002,1
799,FANNIN REGIONAL HOSPITAL,36,1,1,2373,675099.4600000001,156939.13,7
800,FAULKNER HOSPITAL,72,1,1,5926,1303835.0600000003,484490.45000000007,14
801,FAWCETT MEMORIAL HOSPITAL,111,1,1,6628,6392840.64,784795.6699999999,16
802,FAXTON-ST LUKE'S HEALTHCARE,94,1,1,5604,2208793.79,745388.4500000003,1
803,FAYETTE MEDICAL CENTER,25,1,1,1368,365697.66,121619.75,7
804,FAYETTE REGIONAL HEALTH SYSTEM,35,1,1,3317,346642.96,145001.2,7
805,FEATHER RIVER HOSPITAL,68,1,1,17519,4871397.710000003,502370.8500000001,1
806,FHN MEMORIAL HOSPITAL,70,1,1,6168,1162110.4200000002,383949.5100000002,14
807,FIRELANDS REGIONAL MEDICAL CENTER,97,1,1,17911,2022304.1300000008,670232.7100000002,1
808,FIRST STREET HOSPITAL LP,2,1,1,67,74615.18,11121.98,20
809,FIRSTHEALTH MOORE REGIONAL HOSPITAL,122,1,1,31266,2585562.7,921616.3,4
810,FISHER-TITUS HOSPITAL,65,1,1,8189,700623.6200000001,256952.35,0
811,FITZGIBBON MEMORIAL HOSPITAL,35,1,1,1858,343411.07000000007,150002.06000000003,7
812,FIVE RIVERS MEDICAL CENTER,20,1,1,701,126143.99999999997,83112.59,20
813,FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H,40,1,1,4895,523366.83999999997,208985.89,7
814,FLAGLER HOSPITAL,109,1,1,11171,4014764.4499999993,953525.2300000002,16
815,FLAGSTAFF MEDICAL CENTER,79,1,1,4191,3696526.310000001,1207953.4200000002,18
816,FLEMING COUNTY HOSPITAL,22,1,1,1177,206885.35,92020.53999999998,20
817,FLETCHER ALLEN HOSPITAL OF VERMONT,122,1,1,133270,2285472.769999999,1361964.4399999997,9
818,FLINT RIVER HOSPITAL,7,1,1,206,42972.68000000001,30244.149999999998,20
819,FLORALA MEMORIAL HOSPITAL,8,1,1,112,58028.420000000006,35830.619999999995,20
820,FLORIDA HOSPITAL,123,1,1,50347,5163497.030000001,1056777.0899999996,15
821,FLORIDA HOSPITAL CARROLLWOOD,35,1,1,3817,865998.5599999999,193101.72,7
822,FLORIDA HOSPITAL DELAND,77,1,1,8277,1748736.7799999998,475894.99000000005,14
823,FLORIDA HOSPITAL FISH MEMORIAL,88,1,1,14252,2141226.18,569535.77,1
824,FLORIDA HOSPITAL FLAGLER,91,1,1,34072,1883437.17,606129.9800000007,4
825,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,112,1,1,30914,3566731.099999999,793984.8399999999,4
826,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,107,1,1,16936,2774401.510000001,763385.5699999998,18
827,FLORIDA HOSPITAL TAMPA,112,1,1,7656,4170193.8699999987,895705.3300000004,16
828,FLORIDA HOSPITAL WATERMAN,108,1,1,11452,3010569.339999999,755308.8700000002,18
829,FLORIDA HOSPITAL ZEPHYRHILLS,101,1,1,21867,3872774.7199999997,614024.53,18
830,FLOWER HOSPITAL,71,1,1,7557,2094272.8800000001,444616.8399999999,14
831,FLOWERS HOSPITAL,96,1,1,9200,3585091.239999999,621899.39,18
832,FLOYD MEDICAL CENTER,92,1,1,11376,2684801.6899999985,755958.37,18
833,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,114,1,1,21202,2549334.750000001,796408.4099999997,4
834,FLUSHING HOSPITAL MEDICAL CENTER,78,1,1,7799,1671320.0799999998,989915.0800000005,1
835,FOOTHILL PRESBYTERIAN HOSPITAL,44,1,1,1405,1357832.7899999998,366952.88000000006,0
836,FOREST HILLS HOSPITAL,84,1,1,4718,2476012.8099999996,932658.3399999999,18
837,FORREST CITY MEDICAL CENTER,13,1,1,423,158695.27,45196.369999999995,20
838,FORREST GENERAL HOSPITAL,118,1,1,12795,2294834.540000001,904162.93,18
839,FORSYTH MEMORIAL HOSPITAL,124,1,1,145633,2467110.049999999,1027927.4199999998,9
840,FORT DEFIANCE INDIAN HOSPITAL,7,1,1,216,53781.64,48672.369999999995,20
841,FORT DUNCAN MEDICAL CENTER,51,1,1,4994,1459106.2799999996,270957.9900000001,0
842,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,77,1,1,7080,1884356.33,493280.76000000007,14
843,FORT HEALTHCARE,53,1,1,22906,536140.5199999999,200125.2,0
844,FORT LOUDOUN MEDICAL CENTER,30,1,1,1736,312005.69,117034.35,7
845,FORT MADISON COMMUNITY HOSPITAL,39,1,1,3595,284059.47,141078.55999999997,7
846,FORT SANDERS REGIONAL MEDICAL CENTER,104,1,1,7468,2465954.590000001,747108.7399999999,18
847,FORT WALTON BEACH MEDICAL CENTER,96,1,1,4709,6022137.379999997,667597.0899999999,16
848,FORT WASHINGTON HOSPITAL,28,1,1,621,244845.91000000006,230533.41999999998,7
849,FOUNDATION SURGICAL HOSPITAL,6,1,1,1006,237978.77999999997,52348.689999999995,20
850,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,6,1,1,212,168825.47,40317.65000000001,20
851,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,78,1,1,4126,5979860.6000000015,1048426.07,16
852,FRANCISCAN PHYSICIANS HOSPITAL LLC,12,1,1,529,165266.56,63345.990000000005,20
853,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,104,1,1,10462,2141265.79,705565.76,1
854,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,91,1,1,7846,1826548.4900000005,593409.8799999995,1
855,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,32,1,1,2450,373609.43000000005,108163.14999999998,7
856,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL,49,1,1,3162,768066.6599999998,248280.46,0
857,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,69,1,1,4253,2238748.6700000004,582768.62,14
858,FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE,83,1,1,5058,2092156.5799999996,610662.4600000001,1
859,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,85,1,1,37252,1962308.8800000004,565812.4100000001,4
860,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,31,1,1,4993,405252.60000000003,121421.70000000001,7
861,FRANCISCAN ST JAMES HEALTH,114,1,1,15024,3432780.8000000017,1053250.3900000001,16
862,FRANCISCAN ST MARGARET HEALTH - DYER,84,1,1,12726,2096975.32,579424.9700000001,1
863,FRANCISCAN ST MARGARET HEALTH - HAMMOND,92,1,1,9612,2351365.9600000004,771619.4200000003,1
864,FRANKFORT REGIONAL MEDICAL CENTER,57,1,1,3281,1198404.1899999995,284580.58,0
865,FRANKLIN HOSPITAL,76,1,1,4167,2347301.3000000007,619113.39,1
866,FRANKLIN MEDICAL CENTER,27,1,1,1284,141895.11,95798.29,7
867,FRANKLIN MEMORIAL HOSPITAL,42,1,1,3167,574901.2799999998,246054.62999999995,0
868,FRANKLIN REGIONAL MEDICAL CENTER,24,1,1,809,334437.27,112035.2,7
869,FRANKLIN SQUARE HOSPITAL CENTER,95,1,1,6660,1343814.6600000001,1266031.7499999998,18
870,FRANKLIN WOODS COMMUNITY HOSPITAL,30,1,1,1536,632707.53,135322.63999999996,7
871,FREDERICK MEMORIAL HOSPITAL,94,1,1,6075,1156831.4899999995,1089743.4499999997,1
872,FREEMAN HEALTH SYSTEM - FREEMAN WEST,113,1,1,29031,3118315.89,865890.66,4
873,FREMONT AREA MEDICAL CENTER,59,1,1,8816,984950.9,295264.39999999997,0
874,FRENCH HOSPITAL MEDICAL CENTER,53,1,1,2086,2915387.4499999997,415906.75000000006,14
875,FRESNO HEART AND SURGICAL HOSPITAL,20,1,1,3243,552128.6700000002,157862.13,7
876,FRESNO SURGICAL HOSPITAL,5,1,1,704,148843.85,52326.23,20
877,FRIO REGIONAL HOSPITAL,8,1,1,183,36853.55,25946.989999999998,20
878,FRISBIE MEMORIAL HOSPITAL,50,1,1,5202,759955.7099999997,280192.13,0
879,FROEDTERT MEM LUTHERAN HSPTL,118,1,1,86018,2727734.5700000008,1210313.3200000008,15
880,FRYE REGIONAL MEDICAL CENTER,101,1,1,14644,3696027.89,683032.6800000002,18
881,GADSDEN REGIONAL MEDICAL CENTER,93,1,1,7060,6632450.64,664571.4500000001,16
882,GALESBURG COTTAGE HOSPITAL,61,1,1,5510,1794337.0200000005,337683.6400000002,14
883,GALICHIA HEART HOSPITAL LLC,61,1,1,6152,870553.3999999998,363988.5500000001,0
884,GALLUP INDIAN MEDICAL CENTER,14,1,1,343,139197.54,111622.11,20
885,GARDEN CITY HOSPITAL,86,1,1,7425,1144920.3399999999,629444.2200000004,1
886,GARDEN GROVE HOSPITAL & MEDICAL CENTER,53,1,1,1949,2475970.9899999984,653556.9199999998,14
887,GARDEN PARK MEDICAL CENTER,43,1,1,2140,1361102.54,219352.6,0
888,GARFIELD MEDICAL CENTER,70,1,1,3510,7223125.179999998,1009199.9699999997,16
889,GARRETT COUNTY MEMORIAL HOSPITAL,29,1,1,650,254426.26,239397.21000000002,7
890,GASTON MEMORIAL HOSPITAL,120,1,1,25161,2631457.65,952339.6399999998,4
891,GATEWAY MEDICAL CENTER,96,1,1,8691,3010089.8200000003,674991.03,18
892,GATEWAY REGIONAL MEDICAL CENTER,64,1,1,3215,3100986.4099999988,365964.46,14
893,GEARY COMMUNITY HOSPITAL,21,1,1,1393,166877.51,55491.640000000014,20
894,GEISINGER MEDICAL CENTER,115,1,1,107128,4797710.949999997,1203491.1500000004,9
895,GEISINGER WYOMING VALLEY MEDICAL CENTER,107,1,1,57236,3497629.96,771033.4600000003,15
896,GENESIS HEALTHCARE SYSTEM,116,1,1,18222,2085928.0099999998,862473.5199999997,18
897,GENESIS MEDICAL CENTER ILLINI CAMPUS,59,1,1,2538,932099.0100000002,341143.77,0
898,GENESIS MEDICAL CENTER-DAVENPORT,111,1,1,14919,2274387.1800000006,774981.1399999999,18
899,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,106,1,1,15703,2615098.14,1040594.8799999999,18
900,GENEVA GENERAL HOSPITAL,48,1,1,9592,324459.57,204873.02,0
901,GEORGE COUNTY HOSPITAL,27,1,1,1309,170969.34000000005,104438.19000000002,7
902,GEORGE H. LANIER MEMORIAL HOSPITAL,46,1,1,1597,406854.2500000001,231943.06000000003,0
903,GEORGE L MEE MEMORIAL HOSPITAL,8,1,1,289,171474.83000000002,55602.92,20
904,GEORGE WASHINGTON UNIV HOSPITAL,99,1,1,7079,4328298.099999998,1113791.0900000003,16
905,GEORGETOWN COMMUNITY HOSPITAL,22,1,1,1184,255040.81999999998,84992.66,20
906,GEORGETOWN MEMORIAL HOSPITAL,76,1,1,5042,1635029.5700000005,528106.0799999998,14
907,GEORGETOWN UNIVERSITY HOSPITAL,78,1,1,18617,3599534.729999999,1058043.1499999994,18
908,GEORGIANA HOSPITAL,15,1,1,348,72793.95,63265.92999999999,20
909,GERALD CHAMPION REGIONAL MEDICAL CENTE,47,1,1,4442,654977.42,311995.8200000001,0
910,GETTYSBURG HOSPITAL,61,1,1,4661,744290.0100000005,325704.2900000001,0
911,GIBSON GENERAL HOSPITAL,8,1,1,185,33375.58,22079.12,20
912,GILA REGIONAL MEDICAL CENTER,26,1,1,1255,355947.36000000016,142389.13999999998,7
913,GILBERT HOSPITAL,12,1,1,473,165788.74999999997,44875.329999999994,20
914,GILMORE MEMORIAL HOSPITAL,49,1,1,2615,773621.88,199885.9,0
915,GLEN COVE HOSPITAL,74,1,1,4440,1978671.6,613614.3799999999,1
916,GLEN ROSE MEDICAL CENTER,20,1,1,1229,194342.42000000004,76721.11,20
917,GLENDALE ADVENTIST MEDICAL CENTER,107,1,1,11486,7477402.749999999,1294962.7300000007,10
918,GLENDALE MEM HOSPITAL & HLTH CENTER,84,1,1,7043,5284589.3599999985,1082650.27,16
919,GLENS FALLS HOSPITAL,107,1,1,12492,1662192.6499999994,692330.6500000001,1
920,GLENWOOD REGIONAL MEDICAL CENTER,101,1,1,9101,3364435.100000001,671662.1299999997,18
921,GNADEN HUETTEN MEMORIAL HOSPITAL,45,1,1,3649,486735.57000000007,208237.72999999998,0
922,GOLDEN VALLEY MEMORIAL HOSPITAL,42,1,1,5457,423709.2800000001,166449.71000000002,7
923,GOLETA VALLEY COTTAGE HOSPITAL,19,1,1,6042,284893.16,64974.16,20
924,GOOD SAMARITAN HOSPITAL,124,6,9,69164,28175444.349999998,6991828.730000001,19
925,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,115,1,1,11862,5371854.670000001,1176917.3700000003,10
926,GOOD SAMARITAN HOSPITAL OF SUFFERN,103,1,1,8531,4577552.500000001,963531.66,16
927,GOOD SAMARITAN MEDICAL CENTER,107,2,2,16674,4284379.1000000015,1461957.9800000002,5
928,GOOD SAMARITAN REGIONAL HLTH CENTER,89,1,1,5716,1692589.3399999999,599508.0300000001,1
929,GOOD SAMARITAN REGIONAL MEDICAL CENTER,82,1,1,8067,2092969.9700000002,704640.5799999998,1
930,GOOD SHEPHERD MEDICAL CENTER,114,1,1,10342,3563842.7700000005,827641.5299999997,18
931,GOOD SHEPHERD MEDICAL CENTER MARSHALL,53,1,1,3106,1063767.5499999998,273041.06,0
932,GOODALL WITCHER HOSPITAL,19,1,1,679,160228.52000000002,71370.82000000002,20
933,GORDON HOSPITAL,59,1,1,3442,1259916.92,342445.62,0
934,GRACE HOSPITAL INC,64,1,1,4801,1321728.3100000003,411184.42000000004,14
935,GRACE MEDICAL CENTER,13,1,1,700,267580.4,70970.51,20
936,GRADY GENERAL HOSPITAL,11,1,1,383,96696.55999999998,39328.88,20
937,GRADY MEMORIAL HOSPITAL,98,3,3,98276,3181240.839999999,1174757.6300000006,13
938,GRAHAM HOSPITAL ASSOCIATION,34,1,1,2396,354927.14999999997,152578.41,7
939,GRAHAM REGIONAL MEDICAL CENTER,18,1,1,952,137980.12999999998,88088.79,20
940,GRAND ITASCA CLINIC AND HOSPITAL,41,1,1,4238,336887.01,185132.19999999995,7
941,GRAND LAKE HEALTH SYSTEM,39,1,1,3918,303396.0900000001,146696.46,7
942,GRAND STRAND REG MED CENTER,108,1,1,18436,4050154.210000001,770174.3099999998,18
943,GRAND VIEW HOSPITAL,81,1,1,7630,2595109.870000001,543122.5899999999,1
944,GRANDVIEW HOSPITAL & MEDICAL CENTER,78,1,1,10277,2688925.479999999,662715.3199999997,1
945,GRANDVIEW MEDICAL CENTER,25,1,1,1032,382390.82000000007,105459.56,7
946,GRANT MEDICAL CENTER,108,1,1,18946,3377638.040000001,1071003.74,16
947,GRANVILLE MEDICAL CENTER,37,1,1,3907,390912.68,179166.83999999997,7
948,GRAYS HARBOR COMMUNITY HOSPITAL,67,1,1,4420,1368855.89,486241.10000000003,14
949,GREAT BEND REGIONAL HOSPITAL,20,1,1,2340,171490.22999999995,65326.41000000001,20
950,GREAT FALLS CLINIC MEDICAL CENTER,1,1,1,116,32187.24,12232.4,20
951,GREAT PLAINS REGIONAL MEDICAL CENTER,64,2,2,13241,1328342.4199999997,483468.86,11
952,GREAT RIVER MEDICAL CENTER,86,2,2,13294,1565600.3900000001,580710.07,11
953,GREATER BALTIMORE MEDICAL CENTER,86,1,1,4570,1082451.23,1020397.9400000001,1
954,GREATER BATON ROUGE SURGICAL HOSPITAL,2,1,1,162,29342.18,12061.890000000001,20
955,GREATER EL MONTE COMMUNITY HOSPITAL,15,1,1,475,880526.17,190071.68,7
956,GREEN CLINIC SURGICAL HOSPITAL,8,1,1,465,77785.09000000001,29243.68,20
957,GREENBRIER VALLEY MEDICAL CENTER,52,1,1,4039,515712.7899999999,282025.87999999995,0
958,GREENE COUNTY HOSPITAL,11,1,1,278,43791.8,50968.3,20
959,GREENE MEMORIAL HOSPITAL,49,1,1,3297,973561.8799999997,256168.84,0
960,GREENVIEW REGIONAL HOSPITAL,58,1,1,2293,1388341.4000000006,330447.08,0
961,GREENVILLE MEMORIAL HOSPITAL,118,1,1,27759,3789847.400000001,1121474.2999999996,4
962,GREENVILLE REGIONAL HOSPITAL,17,1,1,1276,94648.57999999999,60295.37000000001,20
963,GREENWICH HOSPITAL ASSOCIATION,94,1,1,14968,2872534.46,737655.6799999995,18
964,GREENWOOD LEFLORE HOSPITAL,84,1,1,8323,1756766.7199999997,612983.5900000002,1
965,GREER MEMORIAL HOSPITAL,31,1,1,3153,563613.1,176366.25999999998,7
966,GRENADA LAKE MEDICAL CENTER,52,1,1,3526,605276.9399999997,222154.25,0
967,GRIFFIN HOSPITAL,66,1,1,8074,1296778.1999999993,442264.08,14
968,GRINNELL REGIONAL MEDICAL CENTER,26,1,1,1327,185817.70000000004,105596.5,7
969,GROSSMONT HOSPITAL,116,1,1,10602,5992841.300000004,1085971.0099999995,10
970,GROVE CITY MEDICAL CENTER,35,1,1,2127,293745.16999999987,116178.56,7
971,GROVE HILL MEMORIAL HOSPITAL,16,1,1,550,79726.46,41567.54,20
972,GUADALUPE COUNTY HOSPITAL,3,1,1,37,11456.47,24358.21,20
973,GUADALUPE REGIONAL MEDICAL CENTER,62,1,1,4413,1125962.5599999998,392065.18,14
974,GULF BREEZE HOSPITAL,51,1,1,4485,1062076.9500000002,232374.19000000003,0
975,GULF COAST MEDICAL CENTER,89,2,2,6242,5245197.399999999,776223.42,5
976,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,110,1,1,7806,3887132.1000000006,884577.7699999996,16
977,GUNDERSEN LUTH MED CTR,76,1,1,3690,1539062.0,619773.7700000001,14
978,GWINNETT MEDICAL CENTER,109,1,1,16129,2366116.3900000006,828048.0700000001,18
979,HABERSHAM COUNTY MEDICAL CTR,35,1,1,3136,289925.3000000001,161095.15999999997,7
980,HACKENSACK UNIVERSITY MEDICAL CENTER,123,1,1,25723,7580112.930000001,1237054.6899999997,10
981,HACKETTSTOWN REGIONAL MEDICAL CENTER,66,1,1,4941,2834802.5399999996,425412.86999999994,14
982,HAHNEMANN UNIVERSITY HOSPITAL,96,1,1,6483,9729439.64,1121942.12,10
983,HALE COUNTY HOSPITAL,5,1,1,116,18825.819999999996,15616.62,20
984,HALIFAX HEALTH MEDICAL CENTER,118,1,1,19441,2938492.79,885403.0099999999,4
985,HALIFAX REGIONAL HOSPITAL,59,1,1,3451,1068335.09,472439.82,14
986,HALIFAX REGIONAL MEDICAL CENTER INC,71,1,1,6747,980760.03,407463.29,14
987,HALLMARK HEALTH SYSTEM,103,1,1,22452,1295195.0899999999,788475.9600000004,1
988,HAMILTON GENERAL HOSPITAL,39,1,1,1195,307196.21,162574.90999999997,7
989,HAMILTON MEDICAL CENTER,87,1,1,8774,2201470.4200000004,688974.5599999997,1
990,HAMLIN MEMORIAL HOSPITAL,3,1,1,60,19788.19,16076.140000000001,20
991,HAMPTON REGIONAL MEDICAL CENTER,18,1,1,983,158610.23,62978.590000000004,20
992,HANCOCK MEDICAL CENTER,30,1,1,1600,445029.8800000001,144430.85000000003,7
993,HANCOCK REGIONAL HOSPITAL,51,1,1,5416,647114.6099999999,247134.39999999994,0
994,HANNIBAL REGIONAL HOSPITAL,70,1,1,3276,1365355.59,521278.51,14
995,HANOVER HOSPITAL,56,1,1,4931,679115.8599999999,370969.30000000005,0
996,HARBOR HOSPITAL,69,1,1,2480,952494.0399999998,897498.46,14
